backend,n,truth_positive,truth_negative,tp,fp,tn,fn,precision,recall,specificity,accuracy,input_sha256,seed,a_min,a_max,b_min,b_max,python_cpp_mismatches
python,600,300,300,300,0,300,0,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1214fcd610ae8a85473099b10a307e29e281984da6e4f70cb736266bf1ba4a9f,20260220,-1000000,1000000,-1000000,1000000,0
cpp,600,300,300,300,0,300,0,1.000000000000,1.000000000000,1.000000000000,1.000000000000,1214fcd610ae8a85473099b10a307e29e281984da6e4f70cb736266bf1ba4a9f,20260220,-1000000,1000000,-1000000,1000000,0
